"Name","Sex","Age","Country","Year","Event","Medal","Population","GDP_per_Capita","Density","HappinessRank","HappinessScore","total_medal_amount"
"Sergey Petrovich Tarasov","M",28,"RUS",1994,"Biathlon Men's 10 kilometres Sprint","Bronze",144096812,9092.580536,9,59,5.81,260
"Sergey Petrovich Tarasov","M",28,"RUS",1994,"Biathlon Men's 20 kilometres","Gold",144096812,9092.580536,9,59,5.81,260
"Sergey Petrovich Tarasov","M",28,"RUS",1994,"Biathlon Men's 4 x 7.5 kilometres Relay","Silver",144096812,9092.580536,9,59,5.81,260
"Sergey Petrovich Tarasov","M",32,"RUS",1998,"Biathlon Men's 4 x 7.5 kilometres Relay","Bronze",144096812,9092.580536,9,59,5.81,260
"Antonio Tartaglia","M",30,"ITA",1998,"Bobsleigh Men's Two","Gold",60802085,29957.80432,206,47,6,191
"Gottlieb Taschler","M",26,"ITA",1988,"Biathlon Men's 4 x 7.5 kilometres Relay","Bronze",60802085,29957.80432,206,47,6,191
"John Tavares","M",23,"CAN",2014,"Ice Hockey Men's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Irving Carrie Taylor","M",28,"CAN",1948,"Ice Hockey Men's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Ross Croft Taylor","M",25,"CAN",1928,"Ice Hockey Men's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Axel Teichmann","M",30,"GER",2010,"Cross Country Skiing Men's 50 kilometres","Silver",81413145,41313.31399,240,15,6.965,386
"Axel Teichmann","M",30,"GER",2010,"Cross Country Skiing Men's Team Sprint","Silver",81413145,41313.31399,240,15,6.965,386
"Karl Mikael Tellqvist","M",26,"SWE",2006,"Ice Hockey Men's Ice Hockey","Gold",9798871,50579.67365,25,9,7.314,428
"Hannah Lee Teter","F",19,"USA",2006,"Snowboarding Women's Halfpipe","Gold",321418820,56115.71843,36,18,6.886,635
"Hannah Lee Teter","F",23,"USA",2010,"Snowboarding Women's Halfpipe","Silver",321418820,56115.71843,36,18,6.886,635
"Pertti Benjam Teurajrvi","M",24,"FIN",1976,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Gold",5482013,42311.03623,18,1,7.632,426
"Pertti Benjam Teurajrvi","M",28,"FIN",1980,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Bronze",5482013,42311.03623,18,1,7.632,426
"Erwin Thaler","M",33,"AUT",1964,"Bobsleigh Men's Four","Silver",8611088,43774.98517,109,12,7.139,280
"Erwin Thaler","M",37,"AUT",1968,"Bobsleigh Men's Four","Silver",8611088,43774.98517,109,12,7.139,280
"Helmut Thaler","M",24,"AUT",1964,"Luge Mixed (Men)'s Doubles","Silver",8611088,43774.98517,109,12,7.139,280
"Sandra Thalmann","F",21,"SUI",2014,"Ice Hockey Women's Ice Hockey","Bronze",8286976,80945.07922,219,5,7.487,275
"Jacob Tullin Thams","M",25,"NOR",1924,"Ski Jumping Men's Normal Hill, Individual","Gold",5195921,74400.36978,15,2,7.594,443
"Karen Thatcher","F",25,"USA",2010,"Ice Hockey Women's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Grard ""Gerry"" Thberge","M",25,"CAN",1956,"Ice Hockey Men's Ice Hockey","Bronze",35851774,43248.52991,4,7,7.328,611
"Mats Gunnar Thelin","M",22,"SWE",1984,"Ice Hockey Men's Ice Hockey","Bronze",9798871,50579.67365,25,9,7.314,428
"Arne Michael Thelvn","M",23,"SWE",1984,"Ice Hockey Men's Ice Hockey","Bronze",9798871,50579.67365,25,9,7.314,428
"Christopher Bowie ""Chris"" Therien","M",22,"CAN",1994,"Ice Hockey Men's Ice Hockey","Silver",35851774,43248.52991,4,7,7.328,611
"Gustavo Thoeni","M",20,"ITA",1972,"Alpine Skiing Men's Giant Slalom","Gold",60802085,29957.80432,206,47,6,191
"Gustavo Thoeni","M",20,"ITA",1972,"Alpine Skiing Men's Slalom","Silver",60802085,29957.80432,206,47,6,191
"Gustavo Thoeni","M",24,"ITA",1976,"Alpine Skiing Men's Slalom","Silver",60802085,29957.80432,206,47,6,191
"Rolando Thoeni","M",21,"ITA",1972,"Alpine Skiing Men's Slalom","Bronze",60802085,29957.80432,206,47,6,191
